Date and time;S.1 Cap Volt;S.1 Val1;S.1 Val2;S.1 Val3;S.2 Cap Volt;S.2 Val1;S.2 Val2;S.2 Val3;S.3 Cap Volt;S.3 Val1;S.3 Val2;S.3 Val3;S.4 Cap Volt;S.4 Val1;S.4 Val2;S.4 Val3;S.5 Cap Volt;S.5 Val1;S.5 Val2;S.5 Val3;S.6 Cap Volt;S.6 Val1;S.6 Val2;S.6 Val3;S.7 Cap Volt;S.7 Val1;S.7 Val2;S.7 Val3;S.8 Cap Volt;S.8 Val1;S.8 Val2;S.8 Val3;S.9 Cap Volt;S.9 Val1;S.9 Val2;S.9 Val3;S.10 Cap Volt;S.10 Val1;S.10 Val2;S.10 Val3;S.11 Cap Volt;S.11 Val1;S.11 Val2;S.11 Val3;S.12 Cap Volt;S.12 Val1;S.12 Val2;S.12 Val3;S.13 Cap Volt;S.13 Val1;S.13 Val2;S.13 Val3;S.14 Cap Volt;S.14 Val1;S.14 Val2;S.14 Val3;S.15 Cap Volt;S.15 Val1;S.15 Val2;S.15 Val3;S.16 Cap Volt;S.16 Val1;S.16 Val2;S.16 Val3;S.17 Cap Volt;S.17 Val1;S.17 Val2;S.17 Val3;S.18 Cap Volt;S.18 Val1;S.18 Val2;S.18 Val3;S.19 Cap Volt;S.19 Val1;S.19 Val2;S.19 Val3;S.20 Cap Volt;S.20 Val1;S.20 Val2;S.20 Val3;S.21 Cap Volt;S.21 Val1;S.21 Val2;S.21 Val3;S.22 Cap Volt;S.22 Val1;S.22 Val2;S.22 Val3;S.23 Cap Volt;S.23 Val1;S.23 Val2;S.23 Val3;S.24 Cap Volt;S.24 Val1;S.24 Val2;S.24 Val3;S.25 Cap Volt;S.25 Val1;S.25 Val2;S.25 Val3;S.26 Cap Volt;S.26 Val1;S.26 Val2;S.26 Val3;S.27 Cap Volt;S.27 Val1;S.27 Val2;S.27 Val3;S.28 Cap Volt;S.28 Val1;S.28 Val2;S.28 Val3;S.29 Cap Volt;S.29 Val1;S.29 Val2;S.29 Val3;S.30 Cap Volt;S.30 Val1;S.30 Val2;S.30 Val3;S.31 Cap Volt;S.31 Val1;S.31 Val2;S.31 Val3;S.32 Cap Volt;S.32 Val1;S.32 Val2;S.32 Val3;S.33 Cap Volt;S.33 Val1;S.33 Val2;S.33 Val3;S.34 Cap Volt;S.34 Val1;S.34 Val2;S.34 Val3;S.35 Cap Volt;S.35 Val1;S.35 Val2;S.35 Val3;S.36 Cap Volt;S.36 Val1;S.36 Val2;S.36 Val3;S.37 Cap Volt;S.37 Val1;S.37 Val2;S.37 Val3;S.38 Cap Volt;S.38 Val1;S.38 Val2;S.38 Val3;S.39 Cap Volt;S.39 Val1;S.39 Val2;S.39 Val3;S.40 Cap Volt;S.40 Val1;S.40 Val2;S.40 Val3;S.41 Cap Volt;S.41 Val1;S.41 Val2;S.41 Val3;S.42 Cap Volt;S.42 Val1;S.42 Val2;S.42 Val3;S.43 Cap Volt;S.43 Val1;S.43 Val2;S.43 Val3;S.44 Cap Volt;S.44 Val1;S.44 Val2;S.44 Val3;S.45 Cap Volt;S.45 Val1;S.45 Val2;S.45 Val3;S.46 Cap Volt;S.46 Val1;S.46 Val2;S.46 Val3;S.47 Cap Volt;S.47 Val1;S.47 Val2;S.47 Val3;S.48 Cap Volt;S.48 Val1;S.48 Val2;S.48 Val3;S.49 Cap Volt;S.49 Val1;S.49 Val2;S.49 Val3;S.50 Cap Volt;S.50 Val1;S.50 Val2;S.50 Val3;S.51 Cap Volt;S.51 Val1;S.51 Val2;S.51 Val3;S.52 Cap Volt;S.52 Val1;S.52 Val2;S.52 Val3;S.53 Cap Volt;S.53 Val1;S.53 Val2;S.53 Val3;S.54 Cap Volt;S.54 Val1;S.54 Val2;S.54 Val3;S.55 Cap Volt;S.55 Val1;S.55 Val2;S.55 Val3;S.56 Cap Volt;S.56 Val1;S.56 Val2;S.56 Val3;S.57 Cap Volt;S.57 Val1;S.57 Val2;S.57 Val3;S.58 Cap Volt;S.58 Val1;S.58 Val2;S.58 Val3;S.59 Cap Volt;S.59 Val1;S.59 Val2;S.59 Val3;S.60 Cap Volt;S.60 Val1;S.60 Val2;S.60 Val3
13/06/2022 09:59:00;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;2325;0;0;0;2350;0;0;0;2450;0;0;0;2175;0;0;0;2300;0;0;0;2275;0;0;0;2300;0;0;0;2200;0;0;0;2250;0;0;0;2600;0;0;0;2150;0;0;0;2200;0;0;0;2400;0;0;0;2325;0;0;0;2250;0;0;0;2450;0;0;0;2500;0;0;0;2200;0;0;0;2150;0;0;0;2075;0;0;0;2200;0;0;0;2600;0;0;0;2575;0;0;0;2775;0;0;0;2675;0;0;0;2250;0;0;0;2325;0;0;0;2200;0;0;0;2250;0;0;0;2425;0;0;0;2300;0;0;0;2175;0;0;0;2225;0;0;0;2225;0;0;0;2225;0;0;0;2500;0;0;0
13/06/2022 10:00:25;2225;0;0;0;2500;0;0;0;2500;0;0;0;2200;0;0;0;2275;0;0;0;2200;0;0;0;2200;0;0;0;2250;0;0;0;2275;0;0;0;2175;0;0;0;2275;0;0;0;2175;0;0;0;2200;0;0;0;2275;0;0;0;2275;0;0;0;2500;0;0;0;2175;0;0;0;2250;0;0;0;2225;0;0;0;2550;0;0;0;2525;0;0;0;2150;0;0;0;2075;0;0;0;2175;0;0;0;2275;0;0;0;2350;0;0;0;2450;0;0;0;2175;0;0;0;2300;0;0;0;2275;0;0;0;2300;0;0;0;2200;0;0;0;2250;0;0;0;2600;0;0;0;2150;0;0;0;2200;0;0;0;2400;0;0;0;2325;0;0;0;2250;0;0;0;2450;0;0;0;2500;0;0;0;2200;0;0;0;2150;0;0;0;2075;0;0;0;2200;0;0;0;2600;0;0;0;2575;0;0;0;2775;0;0;0;2675;0;0;0;2250;0;0;0;2325;0;0;0;2200;0;0;0;2250;0;0;0;2425;0;0;0;2300;0;0;0;2175;0;0;0;2225;0;0;0;2225;0;0;0;2225;0;0;0;2500;0;0;0
13/06/2022 10:00:53;2225;0;0;0;2500;0;0;0;2500;0;0;0;2200;0;0;0;2275;0;0;0;2200;0;0;0;2200;0;0;0;2250;0;0;0;2275;0;0;0;2175;0;0;0;2275;0;0;0;2175;0;0;0;2200;0;0;0;2250;0;0;0;2275;0;0;0;2500;0;0;0;2175;0;0;0;2250;0;0;0;2225;0;0;0;2550;0;0;0;2525;0;0;0;2150;0;0;0;2075;0;0;0;2175;0;0;0;2300;0;0;0;2350;0;0;0;2450;0;0;0;2175;0;0;0;2300;0;0;0;2275;0;0;0;2300;0;0;0;2200;0;0;0;2250;0;0;0;2600;0;0;0;2150;0;0;0;2200;0;0;0;2400;0;0;0;2325;0;0;0;2250;0;0;0;2450;0;0;0;2500;0;0;0;2200;0;0;0;2150;0;0;0;2075;0;0;0;2200;0;0;0;2600;0;0;0;2575;0;0;0;2775;0;0;0;2675;0;0;0;2250;0;0;0;2325;0;0;0;2200;0;0;0;2250;0;0;0;2425;0;0;0;2300;0;0;0;2175;0;0;0;2225;0;0;0;2225;0;0;0;2225;0;0;0;2500;0;0;0
13/06/2022 10:01:23;2225;0;0;0;2500;0;0;0;2500;0;0;0;2200;0;0;0;2275;0;0;0;2200;0;0;0;2200;0;0;0;2250;0;0;0;2275;0;0;0;2175;0;0;0;2275;0;0;0;2175;0;0;0;2200;0;0;0;2250;0;0;0;2275;0;0;0;2500;0;0;0;2175;0;0;0;2250;0;0;0;2225;0;0;0;2550;0;0;0;2525;0;0;0;2150;0;0;0;2075;0;0;0;2175;0;0;0;2275;0;0;0;2350;0;0;0;2450;0;0;0;2175;0;0;0;2300;0;0;0;2275;0;0;0;2300;0;0;0;2200;0;0;0;2250;0;0;0;2600;0;0;0;2150;0;0;0;2200;0;0;0;2400;0;0;0;2325;0;0;0;2250;0;0;0;2450;0;0;0;2500;0;0;0;2200;0;0;0;2150;0;0;0;2075;0;0;0;2200;0;0;0;2600;0;0;0;2575;0;0;0;2775;0;0;0;2675;0;0;0;2250;0;0;0;2325;0;0;0;2200;0;0;0;2250;0;0;0;2425;0;0;0;2300;0;0;0;2175;0;0;0;2225;0;0;0;2225;0;0;0;2225;0;0;0;2500;0;0;0
13/06/2022 10:01:54;2225;0;0;0;2500;0;0;0;2500;0;0;0;2200;0;0;0;2275;0;0;0;2200;0;0;0;2200;0;0;0;2250;0;0;0;2275;0;0;0;2175;0;0;0;2275;0;0;0;2175;0;0;0;2200;0;0;0;2250;0;0;0;2275;0;0;0;2500;0;0;0;2175;0;0;0;2250;0;0;0;2225;0;0;0;2550;0;0;0;2525;0;0;0;2150;0;0;0;2075;0;0;0;2175;0;0;0;2300;0;0;0;2350;0;0;0;2450;0;0;0;2175;0;0;0;2300;0;0;0;2275;0;0;0;2300;0;0;0;2200;0;0;0;2250;0;0;0;2600;0;0;0;2150;0;0;0;2200;0;0;0;2400;0;0;0;2325;0;0;0;2250;0;0;0;2450;0;0;0;2500;0;0;0;2200;0;0;0;2150;0;0;0;2075;0;0;0;2200;0;0;0;2600;0;0;0;2575;0;0;0;2775;0;0;0;2675;0;0;0;2250;0;0;0;2325;0;0;0;2200;0;0;0;2250;0;0;0;2425;0;0;0;2300;0;0;0;2175;0;0;0;2225;0;0;0;2225;0;0;0;2225;0;0;0;2500;0;0;0
13/06/2022 10:05:57;2225;0;0;0;2500;0;0;0;2500;0;0;0;2200;0;0;0;2275;0;0;0;2200;0;0;0;2200;0;0;0;2250;0;0;0;2275;0;0;0;2175;0;0;0;2275;0;0;0;2175;0;0;0;2200;0;0;0;2275;0;0;0;2275;0;0;0;2500;0;0;0;2175;0;0;0;2250;0;0;0;2225;0;0;0;2550;0;0;0;2525;0;0;0;2150;0;0;0;2075;0;0;0;2175;0;0;0;2300;0;0;0;2350;0;0;0;2450;0;0;0;2175;0;0;0;2300;0;0;0;2275;0;0;0;2300;0;0;0;2200;0;0;0;2250;0;0;0;2600;0;0;0;2150;0;0;0;2200;0;0;0;2400;0;0;0;2325;0;0;0;2250;0;0;0;2450;0;0;0;2500;0;0;0;2200;0;0;0;2150;0;0;0;2075;0;0;0;2200;0;0;0;2600;0;0;0;2575;0;0;0;2775;0;0;0;2700;0;0;0;2250;0;0;0;2325;0;0;0;2200;0;0;0;2250;0;0;0;2425;0;0;0;2300;0;0;0;2175;0;0;0;2225;0;0;0;2225;0;0;0;2225;0;0;0;2500;0;0;0
13/06/2022 10:06:27;2225;0;0;0;2500;0;0;0;2500;0;0;0;2200;0;0;0;2275;0;0;0;2200;0;0;0;2200;0;0;0;2250;0;0;0;2275;0;0;0;2175;0;0;0;2275;0;0;0;2175;0;0;0;2200;0;0;0;2275;0;0;0;2275;0;0;0;2500;0;0;0;2175;0;0;0;2250;0;0;0;2225;0;0;0;2550;0;0;0;2525;0;0;0;2150;0;0;0;2075;0;0;0;2175;0;0;0;2300;0;0;0;2350;0;0;0;2450;0;0;0;2175;0;0;0;2300;0;0;0;2275;0;0;0;2300;0;0;0;2200;0;0;0;2250;0;0;0;2600;0;0;0;2150;0;0;0;2200;0;0;0;2400;0;0;0;2325;0;0;0;2250;0;0;0;2450;0;0;0;2500;0;0;0;2200;0;0;0;2150;0;0;0;2075;0;0;0;2200;0;0;0;2600;0;0;0;2575;0;0;0;2775;0;0;0;2700;0;0;0;2250;0;0;0;2325;0;0;0;2200;0;0;0;2250;0;0;0;2425;0;0;0;2300;0;0;0;2175;0;0;0;2225;0;0;0;2225;0;0;0;2225;0;0;0;2500;0;0;0
13/06/2022 10:09:17;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;2150;0;0;0;2200;0;0;0;2400;0;0;0;2325;0;0;0;2250;0;0;0;2450;0;0;0;2500;0;0;0;2200;0;0;0;2150;0;0;0;2075;0;0;0;2200;0;0;0;2600;0;0;0;2575;0;0;0;2775;0;0;0;2700;0;0;0;2250;0;0;0;2325;0;0;0;2200;0;0;0;2250;0;0;0;2425;0;0;0;2300;0;0;0;2175;0;0;0;2225;0;0;0;2225;0;0;0;2225;0;0;0;2500;0;0;0
13/06/2022 10:09:46;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;2150;0;0;0;2200;0;0;0;2400;0;0;0;2325;0;0;0;2250;0;0;0;2450;0;0;0;2500;0;0;0;2200;0;0;0;2150;0;0;0;2075;0;0;0;2200;0;0;0;2600;0;0;0;2575;0;0;0;2775;0;0;0;2700;0;0;0;2250;0;0;0;2325;0;0;0;2200;0;0;0;2250;0;0;0;2425;0;0;0;2300;0;0;0;2175;0;0;0;2225;0;0;0;2225;0;0;0;2225;0;0;0;2500;0;0;0
13/06/2022 10:11:35;2225;0;0;0;2500;0;0;0;2500;0;0;0;2200;0;0;0;2275;0;0;0;2200;0;0;0;2200;0;0;0;2250;0;0;0;2275;0;0;0;2175;0;0;0;2275;0;0;0;2175;0;0;0;2200;0;0;0;2250;0;0;0;2275;0;0;0;2500;0;0;0;2175;0;0;0;2250;0;0;0;2225;0;0;0;2550;0;0;0;2525;0;0;0;2150;0;0;0;2075;0;0;0;2175;0;0;0;2300;0;0;0;2350;0;0;0;2450;0;0;0;2175;0;0;0;2300;0;0;0;2275;0;0;0;2300;0;0;0;2200;0;0;0;2250;0;0;0;2600;0;0;0;2150;0;0;0;2200;0;0;0;2400;0;0;0;2350;0;0;0;2250;0;0;0;2450;0;0;0;2500;0;0;0;2200;0;0;0;2150;0;0;0;2075;0;0;0;2200;0;0;0;2600;0;0;0;2575;0;0;0;2775;0;0;0;2700;0;0;0;2250;0;0;0;2325;0;0;0;2200;0;0;0;2250;0;0;0;2425;0;0;0;2300;0;0;0;2175;0;0;0;2225;0;0;0;2225;0;0;0;2200;0;0;0;2500;0;0;0
13/06/2022 10:12:02;2225;0;0;0;2500;0;0;0;2500;0;0;0;2200;0;0;0;2275;0;0;0;2200;0;0;0;2200;0;0;0;2250;0;0;0;2275;0;0;0;2175;0;0;0;2275;0;0;0;2175;0;0;0;2200;0;0;0;2275;0;0;0;2275;0;0;0;2500;0;0;0;2175;0;0;0;2250;0;0;0;2225;0;0;0;2550;0;0;0;2525;0;0;0;2150;0;0;0;2075;0;0;0;2175;0;0;0;2300;0;0;0;2350;0;0;0;2450;0;0;0;2175;0;0;0;2300;0;0;0;2275;0;0;0;2300;0;0;0;2200;0;0;0;2250;0;0;0;2600;0;0;0;2150;0;0;0;2200;0;0;0;2400;0;0;0;2350;0;0;0;2225;0;0;0;2450;0;0;0;2500;0;0;0;2200;0;0;0;2150;0;0;0;2075;0;0;0;2200;0;0;0;2600;0;0;0;2575;0;0;0;2775;0;0;0;2675;0;0;0;2250;0;0;0;2325;0;0;0;2200;0;0;0;2250;0;0;0;2425;0;0;0;2300;0;0;0;2175;0;0;0;2225;0;0;0;2225;0;0;0;2225;0;0;0;2500;0;0;0
13/06/2022 10:12:32;2225;0;0;0;2500;0;0;0;2500;0;0;0;2200;0;0;0;2275;0;0;0;2200;0;0;0;2200;0;0;0;2250;0;0;0;2275;0;0;0;2175;0;0;0;2275;0;0;0;2175;0;0;0;2200;0;0;0;2275;0;0;0;2275;0;0;0;2500;0;0;0;2175;0;0;0;2250;0;0;0;2225;0;0;0;2550;0;0;0;2525;0;0;0;2150;0;0;0;2075;0;0;0;2175;0;0;0;2275;0;0;0;2350;0;0;0;2450;0;0;0;2175;0;0;0;2300;0;0;0;2275;0;0;0;2300;0;0;0;2200;0;0;0;2250;0;0;0;2600;0;0;0;2150;0;0;0;2200;0;0;0;2400;0;0;0;2350;0;0;0;2250;0;0;0;2450;0;0;0;2500;0;0;0;2200;0;0;0;2150;0;0;0;2075;0;0;0;2200;0;0;0;2600;0;0;0;2575;0;0;0;2775;0;0;0;2675;0;0;0;2250;0;0;0;2325;0;0;0;2200;0;0;0;2250;0;0;0;2425;0;0;0;2300;0;0;0;2175;0;0;0;2225;0;0;0;2225;0;0;0;2225;0;0;0;2500;0;0;0
13/06/2022 10:13:03;2225;0;0;0;2500;0;0;0;2500;0;0;0;2200;0;0;0;2275;0;0;0;2200;0;0;0;2200;0;0;0;2250;0;0;0;2275;0;0;0;2175;0;0;0;2275;0;0;0;2175;0;0;0;2200;0;0;0;2250;0;0;0;2275;0;0;0;2500;0;0;0;2175;0;0;0;2250;0;0;0;2225;0;0;0;2550;0;0;0;2525;0;0;0;2150;0;0;0;2075;0;0;0;2175;0;0;0;2300;0;0;0;2350;0;0;0;2450;0;0;0;2175;0;0;0;2300;0;0;0;2275;0;0;0;2300;0;0;0;2200;0;0;0;2250;0;0;0;2600;0;0;0;2150;0;0;0;2200;0;0;0;2400;0;0;0;2325;0;0;0;2250;0;0;0;2450;0;0;0;2500;0;0;0;2200;0;0;0;2150;0;0;0;2075;0;0;0;2200;0;0;0;2600;0;0;0;2575;0;0;0;2775;0;0;0;2700;0;0;0;2250;0;0;0;2325;0;0;0;2200;0;0;0;2250;0;0;0;2425;0;0;0;2300;0;0;0;2175;0;0;0;2225;0;0;0;2225;0;0;0;2200;0;0;0;2500;0;0;0
13/06/2022 10:13:33;2250;0;0;0;2500;0;0;0;2500;0;0;0;2200;0;0;0;2275;0;0;0;2200;0;0;0;2200;0;0;0;2250;0;0;0;2275;0;0;0;2175;0;0;0;2275;0;0;0;2175;0;0;0;2200;0;0;0;2250;0;0;0;2275;0;0;0;2500;0;0;0;2175;0;0;0;2250;0;0;0;2225;0;0;0;2550;0;0;0;2525;0;0;0;2150;0;0;0;2075;0;0;0;2175;0;0;0;2300;0;0;0;2350;0;0;0;2450;0;0;0;2175;0;0;0;2300;0;0;0;2275;0;0;0;2300;0;0;0;2200;0;0;0;2250;0;0;0;2600;0;0;0;2150;0;0;0;2200;0;0;0;2400;0;0;0;2325;0;0;0;2250;0;0;0;2450;0;0;0;2500;0;0;0;2200;0;0;0;2150;0;0;0;2075;0;0;0;2200;0;0;0;2600;0;0;0;2575;0;0;0;2775;0;0;0;2700;0;0;0;2250;0;0;0;2325;0;0;0;2200;0;0;0;2250;0;0;0;2425;0;0;0;2300;0;0;0;2175;0;0;0;2225;0;0;0;2225;0;0;0;2225;0;0;0;2500;0;0;0
13/06/2022 10:14:04;2225;0;0;0;2500;0;0;0;2500;0;0;0;2200;0;0;0;2275;0;0;0;2200;0;0;0;2200;0;0;0;2250;0;0;0;2275;0;0;0;2175;0;0;0;2275;0;0;0;2175;0;0;0;2200;0;0;0;2250;0;0;0;2275;0;0;0;2500;0;0;0;2175;0;0;0;2250;0;0;0;2225;0;0;0;2550;0;0;0;2525;0;0;0;2150;0;0;0;2075;0;0;0;2175;0;0;0;2300;0;0;0;2350;0;0;0;2450;0;0;0;2175;0;0;0;2300;0;0;0;2275;0;0;0;2300;0;0;0;2200;0;0;0;2250;0;0;0;2600;0;0;0;2150;0;0;0;2200;0;0;0;2400;0;0;0;2350;0;0;0;2250;0;0;0;2450;0;0;0;2500;0;0;0;2200;0;0;0;2150;0;0;0;2075;0;0;0;2200;0;0;0;2600;0;0;0;2575;0;0;0;2775;0;0;0;2700;0;0;0;2250;0;0;0;2325;0;0;0;2200;0;0;0;2250;0;0;0;2425;0;0;0;2300;0;0;0;2175;0;0;0;2225;0;0;0;2225;0;0;0;2225;0;0;0;2500;0;0;0
13/06/2022 10:15:04;2225;0;0;0;2500;0;0;0;2500;0;0;0;2200;0;0;0;2275;0;0;0;2200;0;0;0;2200;0;0;0;2250;0;0;0;2275;0;0;0;2175;0;0;0;2275;0;0;0;2175;0;0;0;2200;0;0;0;2275;0;0;0;2275;0;0;0;2500;0;0;0;2175;0;0;0;2250;0;0;0;2225;0;0;0;2550;0;0;0;2525;0;0;0;2150;0;0;0;2075;0;0;0;2175;0;0;0;2300;0;0;0;2350;0;0;0;2450;0;0;0;2175;0;0;0;2300;0;0;0;2275;0;0;0;2300;0;0;0;2200;0;0;0;2250;0;0;0;2600;0;0;0;2150;0;0;0;2200;0;0;0;2400;0;0;0;2325;0;0;0;2250;0;0;0;2450;0;0;0;2500;0;0;0;2200;0;0;0;2150;0;0;0;2075;0;0;0;2200;0;0;0;2600;0;0;0;2575;0;0;0;2775;0;0;0;2700;0;0;0;2250;0;0;0;2325;0;0;0;2200;0;0;0;2250;0;0;0;2425;0;0;0;2300;0;0;0;2175;0;0;0;2225;0;0;0;2225;0;0;0;2225;0;0;0;2500;0;0;0
13/06/2022 10:15:34;2225;0;0;0;2500;0;0;0;2500;0;0;0;2200;0;0;0;2275;0;0;0;2200;0;0;0;2200;0;0;0;2250;0;0;0;2275;0;0;0;2175;0;0;0;2275;0;0;0;2175;0;0;0;2200;0;0;0;2250;0;0;0;2275;0;0;0;2500;0;0;0;2175;0;0;0;2250;0;0;0;2225;0;0;0;2550;0;0;0;2525;0;0;0;2150;0;0;0;2075;0;0;0;2175;0;0;0;2300;0;0;0;2350;0;0;0;2450;0;0;0;2175;0;0;0;2300;0;0;0;2275;0;0;0;2300;0;0;0;2200;0;0;0;2250;0;0;0;2600;0;0;0;2150;0;0;0;2200;0;0;0;2400;0;0;0;2350;0;0;0;2250;0;0;0;2450;0;0;0;2500;0;0;0;2200;0;0;0;2150;0;0;0;2075;0;0;0;2200;0;0;0;2600;0;0;0;2575;0;0;0;2775;0;0;0;2675;0;0;0;2250;0;0;0;2325;0;0;0;2200;0;0;0;2250;0;0;0;2425;0;0;0;2300;0;0;0;2175;0;0;0;2225;0;0;0;2225;0;0;0;2225;0;0;0;2500;0;0;0
13/06/2022 10:16:05;2225;0;0;0;2500;0;0;0;2500;0;0;0;2200;0;0;0;2275;0;0;0;2200;0;0;0;2200;0;0;0;2250;0;0;0;2275;0;0;0;2175;0;0;0;2275;0;0;0;2175;0;0;0;2200;0;0;0;2275;0;0;0;2275;0;0;0;2500;0;0;0;2175;0;0;0;2250;0;0;0;2225;0;0;0;2550;0;0;0;2525;0;0;0;2150;0;0;0;2075;0;0;0;2175;0;0;0;2300;0;0;0;2350;0;0;0;2450;0;0;0;2175;0;0;0;2300;0;0;0;2275;0;0;0;2300;0;0;0;2200;0;0;0;2250;0;0;0;2600;0;0;0;2150;0;0;0;2200;0;0;0;2400;0;0;0;2325;0;0;0;2250;0;0;0;2450;0;0;0;2500;0;0;0;2200;0;0;0;2150;0;0;0;2075;0;0;0;2200;0;0;0;2600;0;0;0;2575;0;0;0;2775;0;0;0;2700;0;0;0;2250;0;0;0;2325;0;0;0;2200;0;0;0;2250;0;0;0;2425;0;0;0;2300;0;0;0;2175;0;0;0;2225;0;0;0;2225;0;0;0;2225;0;0;0;2500;0;0;0
13/06/2022 10:43:34;2225;0;0;0;2500;0;0;0;2500;0;0;0;2200;0;0;0;2275;0;0;0;2200;0;0;0;2200;0;0;0;2250;0;0;0;2275;0;0;0;2175;0;0;0;2275;0;0;0;2175;0;0;0;2200;0;0;0;2275;0;0;0;2275;0;0;0;2500;0;0;0;2175;0;0;0;2250;0;0;0;2225;0;0;0;2550;0;0;0;2525;0;0;0;2150;0;0;0;2075;0;0;0;2175;0;0;0;2300;0;0;0;2350;0;0;0;2450;0;0;0;2175;0;0;0;2300;0;0;0;2275;0;0;0;2300;0;0;0;2200;0;0;0;2250;0;0;0;2600;0;0;0;2150;0;0;0;2200;0;0;0;2400;0;0;0;2325;0;0;0;2250;0;0;0;2450;0;0;0;2500;0;0;0;2200;0;0;0;2150;0;0;0;2075;0;0;0;2200;0;0;0;2600;0;0;0;2575;0;0;0;2775;0;0;0;2700;0;0;0;2250;0;0;0;2325;0;0;0;2200;0;0;0;2250;0;0;0;2425;0;0;0;2300;0;0;0;2175;0;0;0;2225;0;0;0;2225;0;0;0;2225;0;0;0;2500;0;0;0
13/06/2022 10:44:06;2225;0;0;0;2500;0;0;0;2500;0;0;0;2200;0;0;0;2275;0;0;0;2200;0;0;0;2200;0;0;0;2250;0;0;0;2275;0;0;0;2175;0;0;0;2275;0;0;0;2175;0;0;0;2200;0;0;0;2275;0;0;0;2275;0;0;0;2500;0;0;0;2175;0;0;0;2250;0;0;0;2225;0;0;0;2550;0;0;0;2525;0;0;0;2150;0;0;0;2075;0;0;0;2175;0;0;0;2300;0;0;0;2350;0;0;0;2450;0;0;0;2175;0;0;0;2300;0;0;0;2275;0;0;0;2300;0;0;0;2200;0;0;0;2250;0;0;0;2600;0;0;0;2150;0;0;0;2200;0;0;0;2400;0;0;0;2325;0;0;0;2250;0;0;0;2450;0;0;0;2500;0;0;0;2200;0;0;0;2150;0;0;0;2075;0;0;0;2200;0;0;0;2600;0;0;0;2575;0;0;0;2775;0;0;0;2700;0;0;0;2250;0;0;0;2325;0;0;0;2200;0;0;0;2250;0;0;0;2425;0;0;0;2300;0;0;0;2175;0;0;0;2225;0;0;0;2225;0;0;0;2225;0;0;0;2500;0;0;0
13/06/2022 10:44:35;2225;0;0;0;2500;0;0;0;2500;0;0;0;2200;0;0;0;2275;0;0;0;2200;0;0;0;2200;0;0;0;2250;0;0;0;2275;0;0;0;2175;0;0;0;2275;0;0;0;2175;0;0;0;2200;0;0;0;2250;0;0;0;2275;0;0;0;2500;0;0;0;2175;0;0;0;2250;0;0;0;2225;0;0;0;2550;0;0;0;2525;0;0;0;2150;0;0;0;2075;0;0;0;2175;0;0;0;2300;0;0;0;2350;0;0;0;2450;0;0;0;2175;0;0;0;2300;0;0;0;2275;0;0;0;2300;0;0;0;2200;0;0;0;1500;0;0;0;2600;0;0;0;2150;0;0;0;2200;0;0;0;2400;0;0;0;2325;0;0;0;2250;0;0;0;2450;0;0;0;2500;0;0;0;2200;0;0;0;2150;0;0;0;2075;0;0;0;2200;0;0;0;2600;0;0;0;2575;0;0;0;2775;0;0;0;2700;0;0;0;2250;0;0;0;2325;0;0;0;2200;0;0;0;2250;0;0;0;2425;0;0;0;2300;0;0;0;2175;0;0;0;2225;0;0;0;2225;0;0;0;2225;0;0;0;2500;0;0;0
